Classification,L,HHGCN,HHGCF,HHGCS,HHGCT,HGCN,HGCF,HGCS,HGCT,LGCN,LGCF,LGCS,LGCT,POLYA,POLYT,POLYG,POLYC,POLYAT,POLYGC,RRC,MRRC,RRWCN30,RRWCN50,DRC,MDRC,DRWCN30,DRWCN50,DRN,DRM,DR1SS,DR1L,DR1N,DR1G,DR1S,DR2SS,DR2L,DR2N,DR2G,DR2S,DR3SS,DR3L,DR3N,DR3G,DR3S,DR4SS,DR4L,DR4N,DR4G,DR4S,DR5SS,DR5L,DR5N,DR5G,DR5S,RRN,RRM,RR1SS,RR1L,RR1N,RR1G,RR1S,RR2SS,RR2L,RR2N,RR2G,RR2S,RR3SS,RR3L,RR3N,RR3G,RR3S,RR4SS,RR4L,RR4N,RR4G,RR4S,RR5SS,RR5L,RR5N,RR5G,RR5S
Complex,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669,0.0039,0,0,0.127,0.0049,0,0,26,10,498,12,2,3027,3051,998,12,2,849,873,184,11,2,1558,1580,740,11,2,2854,2876,1583,11,2,49,71,11,12,2378,15,2,27,57,3617,14,2,119,147,3486,14,2,5,33,365,13,2,1777,1803,804,13,2,557,583
Complex,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298,0.0032,0,0,0.1992,0.0061,0,0,46,10,3859,14,2,7,35,498,12,2,3027,3051,697,12,2,2898,2922,184,11,2,1558,1580,205,11,2,2206,2228,5,12,784,13,2,566,592,3183,12,2,367,391,677,12,2,923,947,752,12,2,681,705,922,12,2,17,41
Complex,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142,0.0037,0,0,0.0911,0.0042,0,0,19,10,3859,14,2,7,35,497,13,2,3026,3052,1688,12,2,2156,2180,341,11,2,1657,1679,388,11,2,2320,2342,2,14,205,15,2,704,734,3486,14,2,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181,0.0032,0,0,0.2092,0.0073,0,0,50,10,305,13,2,1499,1525,124,12,2,1261,1285,276,12,2,2775,2799,471,12,2,981,1005,697,12,2,2898,2922,3,12,3487,13,2,5,31,2237,12,2,443,467,922,12,2,17,41,0,0,0,0,0,0,0,0,0,0
Complex,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3464,0.0266,0,0,39,11,1372,38,2,0,53,1570,14,2,31,59,382,13,2,365,391,55,12,2,1032,1056,411,12,2,540,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,2091,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0.0057,0,0,0.2296,0.022,0,0,27,11,559,24,2,1386,1434,1321,14,2,16,44,169,13,2,1817,1843,179,12,2,1146,1170,403,12,2,0,24,1,12,880,12,2,196,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3154,0.0562,0,0,12,13,562,32,2,0,47,160,14,2,31,59,181,12,2,33,57,192,12,2,291,315,627,12,2,42,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0202,0.0036,0,0,0.3567,0.0957,0,0,48,27,1305,374,2,400,1148,1733,107,2,667,881,1682,48,2,726,822,2954,41,2,0,77,2956,39,3,0,97,7,13,1304,14,2,782,810,1304,14,2,8,36,1305,13,2,782,808,1305,13,2,8,34,2079,13,2,8,34
Complex,1030,2,53,52,0,6,133,80,70,0,0,0,0,0,0,0,0,0,0,0.0757,0.0146,0,0,0.1602,0.0252,0,0,9,11,241,13,2,760,786,284,13,2,409,435,235,12,2,22,46,335,11,2,132,154,741,11,2,29,51,3,13,384,15,2,90,120,82,12,2,864,888,544,12,2,258,282,0,0,0,0,0,0,0,0,0,0
Complex,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392,0.0058,0,0,0.1394,0.0245,0,0,14,17,370,72,2,0,144,48,21,2,172,214,517,21,2,0,42,184,15,2,98,128,90,14,2,39,67,11,13,89,15,2,41,71,90,14,2,41,69,143,14,2,0,16,374,14,2,2287,2315,446,14,2,2215,2243
